lat	lon	size
-85.5	-151.1	1
-85.2	-177.4	1
-85.2	-177.3	1
-85.2	-177.1	1
-85.2	-174.1	3
-85.1	-177.4	1
-85.0	-177.2	1
-84.9	-177.1	1
-84.9	-177.0	3
-84.9	-176.9	3
-84.9	-176.1	5
-84.6	-176.8	6
-84.6	-176.7	2
-84.6	-176.0	1
-84.6	175.0	4
-84.5	-176.5	9
-84.5	-176.4	1
-84.5	-175.4	4
-84.5	-175.0	1
-84.5	-174.9	3
-84.3	169.3	1
-83.8	170.8	2
-83.8	172.7	2
-79.8	-83.0	1
-79.8	-82.9	1
-78.2	164.0	1
-78.1	163.6	1
-78.1	163.7	9
-78.1	163.8	15
-78.1	163.9	6
-78.1	164.0	3
-78.1	164.1	6
-78.1	164.2	4
-78.1	164.3	2
-78.1	164.4	1
-78.0	163.7	3
-78.0	163.8	5
-78.0	163.9	7
-78.0	164.0	3
-78.0	164.1	1
-78.0	164.3	3
-77.9	159.1	1
-77.9	160.7	7
-77.9	160.8	2
-77.9	161.6	3
-77.8	160.7	9
-77.7	160.8	1
-77.6	161.0	14
-77.6	161.1	4
-77.6	161.2	1
-77.6	161.8	5
-77.6	163.1	1
-77.6	163.2	7
-77.6	163.5	6
-77.6	165.4	12
-77.6	166.2	9
-77.5	160.6	3
-77.5	160.8	3
-77.5	160.9	19
-77.5	161.6	13
-77.5	161.8	1
-77.5	167.2	1
-77.4	161.9	1
-77.4	162.2	2
-77.4	162.3	2
-77.4	167.2	1
-77.0	160.8	2
-77.0	161.2	1
-77.0	161.4	5
-77.0	161.5	1
-77.0	161.7	5
-77.0	161.8	2
-77.0	162.2	1
-77.0	173.0	2
-76.9	160.9	20
-76.9	161.1	4
-76.8	-33.4	2
-76.6	-170.0	1
-76.6	161.1	1
-76.6	161.2	1
-76.5	161.3	1
-76.5	161.4	1
-76.5	162.1	1
-76.4	161.0	2
-76.4	161.1	1
-76.2	-170.5	1
-76.1	162.0	1
-76.0	-54.2	1
-76.0	160.9	2
-75.9	159.8	1
-75.9	160.0	10
-75.9	162.6	5
-75.8	11.2	1
-75.8	159.9	2
-75.8	161.1	1
-75.7	158.9	6
-75.7	159.2	6
-75.7	160.4	1
-75.7	160.9	8
-75.7	161.3	3
-75.5	-166.3	1
-75.5	159.6	9
-75.2	-176.6	1
-75.1	164.5	5
-74.9	162.2	2
-74.9	162.4	4
-74.9	163.7	8
-74.8	163.7	3
-74.8	166.8	5
-74.7	162.6	1
-74.7	162.7	1
-74.6	162.2	1
-74.6	162.6	1
-74.6	164.1	1
-74.5	162.6	1
-74.4	-168.3	1
-74.4	164.0	4
-74.4	164.7	3
-74.2	162.5	7
-74.2	170.9	6
-74.1	165.3	2
-74.0	164.4	3
-74.0	175.1	2
-73.7	162.6	1
-73.7	163.7	2
-73.5	-127.4	2
-73.4	165.5	2
-73.3	-129.6	1
-73.2	-129.3	1
-73.0	-127.9	1
-73.0	-126.4	1
-73.0	-126.1	2
-72.6	169.3	2
-72.5	-104.4	1
-72.4	169.9	2
-72.3	-104.3	1
-72.3	170.2	5
-72.1	13.4	9
-71.9	-68.2	1
-71.8	162.0	1
-71.7	-143.9	2
-71.7	-143.7	5
-71.7	-143.6	4
-71.7	161.4	4
-71.4	-102.2	1
-71.4	-93.5	1
-71.4	-91.4	1
-71.3	-148.3	2
-71.0	-152.5	2
-70.8	-169.0	2
-70.8	-154.6	2
-70.5	-95.2	1
-70.2	-159.1	8
-70.0	-160.1	2
-70.0	-115.5	4
-70.0	-112.7	2
-70.0	-100.2	1
-69.9	-115.2	8
-69.9	-100.7	3
-69.7	-102.0	1
-69.6	-103.0	1
-69.5	-103.0	1
-69.4	76.4	1
-69.2	-78.8	2
-69.0	-103.0	3
-68.9	78.1	3
-68.8	-90.7	2
-68.7	-100.0	4
-68.5	-103.0	1
-68.5	-44.1	2
-68.5	78.2	2
-68.5	78.5	1
-68.0	-120.0	8
-68.0	-103.0	1
-67.9	-67.7	1
-67.8	-89.3	2
-67.7	-75.0	1
-67.6	-68.2	3
-67.5	-103.0	1
-67.4	-179.9	2
-67.3	163.5	3
-67.2	145.7	13
-67.1	144.9	6
-67.1	167.3	8
-67.1	167.4	1
-67.0	-110.0	8
-67.0	-103.0	1
-67.0	146.0	5
-66.9	-69.1	2
-66.9	146.1	5
-66.9	146.2	2
-66.8	146.2	4
-66.6	70.6	2
-66.5	-103.0	6
-66.5	111.0	3
-66.4	110.6	3
-66.3	100.6	7
-66.3	100.7	1
-66.3	140.4	3
-66.1	-31.8	3
-66.0	-103.0	1
-66.0	159.0	6
-65.0	-103.0	1
-64.8	-64.1	20
-64.8	-64.0	14
-64.6	-62.6	2
-64.5	-103.0	1
-64.5	-44.9	5
-64.4	-53.1	2
-64.4	-53.0	2
-64.4	125.2	2
-64.3	-56.7	4
-64.3	-56.6	8
-64.3	-53.1	4
-64.3	-53.0	2
-64.0	-103.0	7
-64.0	-66.3	5
-64.0	-66.2	1
-64.0	-0.0	1
-63.9	-56.1	5
-63.8	-57.3	2
-63.6	-60.9	29
-63.5	-51.3	2
-63.4	-56.8	4
-63.4	-53.6	4
-63.4	-53.5	4
-63.0	-103.0	1
-63.0	-60.7	14
-63.0	-60.6	60
-63.0	-60.3	1
-62.9	-61.1	2
-62.9	-60.6	1
-62.7	-61.2	23
-62.7	-60.9	27
-62.7	-60.6	1
-62.7	-60.4	23
-62.7	-57.7	1
-62.6	-61.0	9
-62.6	-60.6	18
-62.6	-59.8	4
-62.6	-58.6	1
-62.5	-103.0	2
-62.5	-68.0	5
-62.5	-60.7	5
-62.5	-59.7	16
-62.3	-58.7	16
-62.2	-59.0	10
-62.2	-58.9	7
-62.2	-58.8	10
-62.2	-58.7	14
-62.2	-58.6	2
-62.2	-57.3	2
-62.2	-49.2	4
-62.1	-58.5	1
-62.1	-49.3	1
-62.0	-103.0	1
-62.0	-58.9	2
-62.0	-58.4	1
-62.0	-58.0	1
-62.0	-57.7	11
-62.0	-49.5	6
-61.7	-55.2	1
-61.2	-57.1	1
