type	subtype	matched	shown	file
albicidin	albA	49063	1000	0000.txt.gz
albicidin	albB	364	364	0001.txt.gz
albicidin	albD	2361	1000	0002.txt.gz
albicidin	albF	51	51	0003.txt.gz
albicidin	albG	59	59	0004.txt.gz
aminocoumarin	couR5	994	994	0005.txt.gz
aminocoumarin	novA	73195	1000	0006.txt.gz
aminoglycoside	aac(2')*	1726	1000	0007.txt.gz
aminoglycoside	aac(2')-I	47210	1000	0008.txt.gz
aminoglycoside	aac(2')-II	5128	1000	0009.txt.gz
aminoglycoside	aac(3)*	235324	1000	0010.txt.gz
aminoglycoside	aac(3)-I	112307	1000	0011.txt.gz
aminoglycoside	aac(3)-II	61961	1000	0012.txt.gz
aminoglycoside	aac(3)-III	2352	1000	0013.txt.gz
aminoglycoside	aac(3)-IV	73581	1000	0014.txt.gz
aminoglycoside	aac(3)-IX	28	28	0015.txt.gz
aminoglycoside	aac(3)-VI	3665	1000	0016.txt.gz
aminoglycoside	aac(3)-VII	119	119	0017.txt.gz
aminoglycoside	aac(3)-VIII	1179	1000	0018.txt.gz
aminoglycoside	aac(3)-X	65	65	0019.txt.gz
aminoglycoside	aac(3)-XI	11994	1000	0020.txt.gz
aminoglycoside	aac(6')*	553938	1000	0021.txt.gz
aminoglycoside	aac(6')-I	209119	1000	0022.txt.gz
aminoglycoside	aac(6')-II	30545	1000	0023.txt.gz
aminoglycoside	aac(6')-III	20	20	0024.txt.gz
aminoglycoside	ant(2'')-I	37932	1000	0025.txt.gz
aminoglycoside	ant(3'')-I	307336	1000	0026.txt.gz
aminoglycoside	ant(3'')-II	47761	1000	0027.txt.gz
aminoglycoside	ant(4')-I	72674	1000	0028.txt.gz
aminoglycoside	ant(4')-II	1339	1000	0029.txt.gz
aminoglycoside	ant(6)*	537543	1000	0030.txt.gz
aminoglycoside	ant(6)-I	107133	1000	0031.txt.gz
aminoglycoside	ant(9)*	358005	1000	0032.txt.gz
aminoglycoside	ant(9)-I	22024	1000	0033.txt.gz
